Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
09:14:33,29.8,25.6,78.0,1.6,276.0,0.0,71.0,0,81.0,02d,few clouds
09:14:35,29.8,25.6,78.0,3.2,274.0,0.0,71.0,0,81.0,02d,few clouds
09:15:33,29.9,25.6,78.0,1.6,267.0,0.0,71.0,0,81.0,02d,few clouds
09:15:35,29.9,25.6,78.0,1.6,267.0,0.0,71.0,0,81.0,02d,few clouds
09:16:33,30.0,25.6,78.0,3.2,304.0,1.12598,71.0,0,81.0,09d,shower rain
09:17:10,30.1,25.7,78.0,1.6,259.0,1.12598,71.0,0,81.0,09d,shower rain
09:17:33,30.1,25.6,78.0,0.0,259.0,1.12598,71.0,0,81.0,09d,shower rain
09:18:10,30.2,25.7,78.0,0.0,259.0,1.12598,71.0,0,81.0,09d,shower rain
09:18:33,30.2,25.7,78.0,4.8,113.0,1.12598,71.0,0,81.0,09d,shower rain
09:19:10,30.3,25.7,78.0,1.6,72.0,1.12598,71.0,0,81.0,09d,shower rain
09:19:33,30.3,25.8,78.0,3.2,135.0,1.12598,71.0,0,82.0,09d,shower rain
09:20:10,30.3,25.8,78.0,1.6,137.0,1.12598,71.0,0,82.0,09d,shower rain
09:20:33,30.3,25.8,78.0,4.8,262.0,1.12598,71.0,0,82.0,09d,shower rain
09:21:10,30.3,25.8,78.0,1.6,304.0,1.12598,71.0,0,82.0,09d,shower rain
09:21:33,30.3,25.8,78.0,0.0,304.0,1.12598,71.0,0,82.0,09d,shower rain
09:22:10,30.3,25.8,78.0,3.2,237.0,1.12598,71.0,0,82.0,09d,shower rain
09:22:33,30.3,25.8,78.0,3.2,228.0,1.12598,71.0,0,82.0,09d,shower rain
09:23:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:23:33,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:24:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:24:33,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:25:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:25:33,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:26:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:26:33,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:27:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:27:33,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:28:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:28:33,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:29:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:29:33,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:30:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:30:33,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
09:31:10,30.3,25.8,78.0,6.4,266.0,1.12598,71.0,0,82.0,09d,shower rain
