Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
11:09:37,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:09:39,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:10:37,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:10:39,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:11:37,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:11:39,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:12:37,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:12:39,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:13:37,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:13:39,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
11:14:37,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
