Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
16:25:07,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
16:25:11,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
16:27:02,31.5,33.1,43.0,3.2,22.0,0.0,66.0,0,95.0,01d,clear sky
16:27:04,31.5,33.1,43.0,3.2,22.0,0.0,66.0,0,95.0,01d,clear sky
16:37:02,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:37:04,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:38:02,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:38:04,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:39:02,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:39:04,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:40:02,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:40:04,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:41:02,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:41:04,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:42:02,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:42:04,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:43:02,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
16:43:04,31.5,33.1,43.0,1.6,22.0,0.0,66.0,0,95.0,01d,clear sky
