Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
13:44:23,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:44:25,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:13,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:14,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:14,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:15,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:15,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:16,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:16,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:17,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:17,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:18,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:18,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:19,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
13:45:19,30.1,31.2,24.0,18.0,219.0,0.0,47.0,0,86.0,01d,clear sky
