Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
14:22:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:22:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:23:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:23:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:24:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:24:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:25:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:25:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:26:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:26:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:27:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:27:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:28:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:28:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:29:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:29:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:30:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:30:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:31:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:31:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:32:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:32:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:33:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:33:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:34:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:34:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:35:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:35:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:36:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:36:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:37:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:37:24,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
14:38:22,29.5,31.3,22.0,3.0,103.0,0.0,45.0,0,86.0,01d,clear sky
