Time,tempin,tempout,humidity,windspeed,winddir,rainrate,dew,uv,heat,icon,desc
10:17:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:17:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:18:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:18:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:19:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:19:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:20:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:20:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:21:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:21:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:22:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:22:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:23:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:23:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:24:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:24:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:25:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:25:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:26:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:26:32,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:29:28,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:29:37,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:30:28,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:30:37,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:31:28,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
10:31:37,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:08:27,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:08:31,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:09:27,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:09:31,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:11:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:11:33,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:12:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:12:33,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:13:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:13:33,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:14:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:14:33,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:15:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:15:33,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:16:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:16:33,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
15:17:30,32.2,27.3,71.0,0.0,285.0,1.12598,71.0,0,86.0,09d,shower rain
